K00001	E1.1.1.1	alcohol dehydrogenase
K10118	msmF	raffinose/stachyose/melibiose transport system permease protein
K10119	msmG	raffinose/stachyose/melibiose transport system permease protein
K10120	msmE	fructooligosaccharide transport system substrate-binding protein
K10121	msmF	fructooligosaccharide transport system permease protein
K10122	msmG	fructooligosaccharide transport system permease protein
K10123	feoC	putative ferrous iron transport protein C
K10124	bglH	carbohydrate-specific outer membrane porin
K10125	dctB	two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB
K10126	dctD	two-component system, NtrC family, C4-dicarboxylate transport response regulator DctD
K10188	lacE	lactose/L-arabinose transport system substrate-binding protein
K10189	lacF	lactose/L-arabinose transport system permease protein
K10190	lacG	lactose/L-arabinose transport system permease protein
K10191	lacK	lactose/L-arabinose transport system ATP-binding protein
K10192	togB	oligogalacturonide transport system substrate-binding protein
K10193	togM	oligogalacturonide transport system permease protein
K10194	togN	oligogalacturonide transport system permease protein
K10195	togA	oligogalacturonide transport system ATP-binding protein
K10200	ngcE	N-acetylglucosamine transport system substrate-binding protein
K10201	ngcF	N-acetylglucosamine transport system permease protein
K10202	ngcG	N-acetylglucosamine transport system permease protein
K10206	E2.6.1.83	LL-diaminopimelate aminotransferase
K10210	crtP	diapolycopene oxygenase
K10211	crtQ	4,4'-diaponeurosporenoate glycosyltransferase
K10212	crtO	glycosyl-4,4'-diaponeurosporenoate acyltransferase
K10213	rihB	ribosylpyrimidine nucleosidase
K10216	dmpD	2-hydroxymuconate-semialdehyde hydrolase
K10217	dmpC	aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase
K10218	ligK	4-hydroxy-4-methyl-2-oxoglutarate aldolase
K10219	ligC	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase
K10220	ligJ	4-oxalmesaconate hydratase
K10221	ligI	2-pyrone-4,6-dicarboxylate lactonase
K10227	smoE	polyol transport system substrate-binding protein
K10228	smoF	polyol transport system permease protein
K10229	smoG	polyol transport system permease protein
K10231	kojP	kojibiose phosphorylase
K10232	aglE	alpha-glucoside transport system substrate-binding protein
K10233	aglF	alpha-glucoside transport system permease protein
K10234	aglG	alpha-glucoside transport system permease protein
K10235	aglK	alpha-glucoside transport system ATP-binding protein
K10236	thuE	trehalose/maltose transport system substrate-binding protein
K10237	thuF	trehalose/maltose transport system permease protein
K10238	thuG	trehalose/maltose transport system permease protein
K10240	cebE	cellobiose transport system substrate-binding protein
K10241	cebF	cellobiose transport system permease protein
K10242	cebG	cellobiose transport system permease protein
K10253	DODA	DOPA 4,5-dioxygenase
K10254	ohyA, sph	oleate hydratase
K10255	FAD6	acyl-lipid omega-6 desaturase (Delta-12 desaturase)
K10353	E2.7.1.76	deoxyadenosine kinase
K10439	rbsB	ribose transport system substrate-binding protein
K10440	rbsC	ribose transport system permease protein
K10441	rbsA	ribose transport system ATP-binding protein
K10530	lctO	L-lactate oxidase
K10531	pvdA, SIDA	L-ornithine N5-monooxygenase
K10536	aguA	agmatine deiminase
K10537	araF	L-arabinose transport system substrate-binding protein
K10538	araH	L-arabinose transport system permease protein
K10539	araG	L-arabinose transport system ATP-binding protein
K10540	mglB	methyl-galactoside transport system substrate-binding protein
K10541	mglC	methyl-galactoside transport system permease protein
K10542	mglA	methyl-galactoside transport system ATP-binding protein
K10543	xylF	D-xylose transport system substrate-binding protein
K10544	xylH	D-xylose transport system permease protein
K10545	xylG	D-xylose transport system ATP-binding protein
K10546	chvE	putative multiple sugar transport system substrate-binding protein
K10547	gguB	putative multiple sugar transport system permease protein
K10548	gguA	putative multiple sugar transport system ATP-binding protein
K10549	alsB	D-allose transport system substrate-binding protein
K10550	alsC	D-allose transport system permease protein
K10551	alsA	D-allose transport system ATP-binding protein
K10552	frcB	fructose transport system substrate-binding protein
K10553	frcC	fructose transport system permease protein
K10554	frcA	fructose transport system ATP-binding protein
K10555	lsrB	AI-2 transport system substrate-binding protein
K10556	lsrC	AI-2 transport system permease protein
K10557	lsrD	AI-2 transport system permease protein
K10558	lsrA	AI-2 transport system ATP-binding protein
K10559	rhaS	rhamnose transport system substrate-binding protein
K10560	rhaP	rhamnose transport system permease protein
K10561	rhaQ	rhamnose transport system permease protein
K10562	rhaT	rhamnose transport system ATP-binding protein
K10563	mutM	formamidopyrimidine-DNA glycosylase
K10670	grdA	glycine/sarcosine/betaine reductase complex component A
K10671	grdE	glycine reductase complex component B subunit alpha and beta
K10672	grdB	glycine reductase complex component B subunit gamma
K10673	strA	streptomycin 3"-kinase
K10677	E4.2.2.17	inulin fructotransferase (DFA-I-forming)
K10678	nfsA	nitroreductase
K10679	nfnB	nitroreductase / dihydropteridine reductase
K10680	nemA	N-ethylmaleimide reductase
K10681	saeS	two-component system, OmpR family, sensor histidine kinase SaeS
K10682	saeR	two-component system, OmpR family, response regulator SaeR
K10686	UBA3	NEDD8-activating enzyme E1
K10697	rpaA	two-component system, OmpR family, response regulator RpaA
K10708	frlB	fructoselysine 6-phosphate deglycase
K10709	frlC	fructoselysine 3-epimerase
K10710	frlD	fructoselysine 6-kinase
K10711	frlR	GntR family transcriptional regulator, frlABCD operon transcriptional regulator
K10716	kch, trkA, mthK, pch	voltage-gated potassium channel
K10725	cdc6A	archaeal cell division control protein 6
K10726	mcm	replicative DNA helicase Mcm
K10742	DNA2	DNA replication ATP-dependent helicase/nuclease Dna2
K10747	LIG1	DNA ligase 1
K10748	tus, tau	DNA replication terminus site-binding protein
K10762	ydaV	putative replication protein
K10763	hda	DnaA-homolog protein
K10764	metZ	O-succinylhomoserine sulfhydrylase
K10773	NTH	endonuclease III
K10778	ada	AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase
K10780	fabL	enoyl-[acyl-carrier protein] reductase III
K10793	prdA	D-proline reductase (dithiol) PrdA
K10794	prdB	D-proline reductase (dithiol) PrdB
K10795	prdD	D-proline reductase (dithiol)-stabilizing protein PrdD
K10796	prdE	D-proline reductase (dithiol)-stabilizing protein PrdE
K10797	enr	2-enoate reductase
K10798	PARP2_3_4	poly [ADP-ribose] polymerase 2/3/4
K10800	SMUG1	single-strand selective monofunctional uracil DNA glycosylase
K10804	tesA	acyl-CoA thioesterase I
K10805	tesB	acyl-CoA thioesterase II
K10806	yciA	acyl-CoA thioesterase YciA
K10810	tenI	thiazole tautomerase (transcriptional regulator TenI)
K10811	E2.5.1.2	thiamine pyridinylase
K10814	hcnA	hydrogen cyanide synthase HcnA
K10815	hcnB	hydrogen cyanide synthase HcnB
K10816	hcnC	hydrogen cyanide synthase HcnC
K10819	E2.7.13.3	histidine kinase
K10823	oppF	oligopeptide transport system ATP-binding protein
K10824	nikE	nickel transport system ATP-binding protein
K10830	psaB	manganese/zinc transport system ATP-binding protein
K10831	tauB	taurine transport system ATP-binding protein
K10843	ERCC3	DNA excision repair protein ERCC-3
K10844	ERCC2	DNA excision repair protein ERCC-2
K10850	narT	MFS transporter, NNP family, putative nitrate transporter
K10851	nreA	nitrogen regulatory protein A
K10857	exoX	exodeoxyribonuclease X
K10896	FANCM	fanconi anemia group M protein
K10906	recE	exodeoxyribonuclease VIII
K10907	K10907	aminotransferase
K10908	POLRMT, RPO41	DNA-directed RNA polymerase, mitochondrial
K10911	luxU	two-component system, phosphorelay protein LuxU
K10912	luxO	two-component system, repressor protein LuxO
K10913	hapR	TetR/AcrR family transcriptional regulator, hemagglutinin/protease regulatory protein
K10914	crp	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein
K10917	aphA	PadR family transcriptional regulator, regulatory protein AphA
K10918	aphB	LysR family transcriptional regulator, transcriptional activator AphB
K10921	toxR	cholera toxin transcriptional activator
K10922	toxS	transmembrane regulatory protein ToxS
K10924	mshA	MSHA pilin protein MshA
K10925	mshB	MSHA pilin protein MshB
K10926	mshC	MSHA pilin protein MshC
K10927	mshD	MSHA pilin protein MshD
K10930	tcpA	toxin coregulated pilin
K10931	tcpB	toxin coregulated pilus biosynthesis protein B
K10932	tcpC	toxin coregulated pilus biosynthesis outer membrane protein C
K10934	tcpE	toxin coregulated pilus biosynthesis protein E
K10936	acfA	accessory colonization factor AcfA
K10938	acfC	accessory colonization factor AcfC
K10939	acfD	accessory colonization factor AcfD
K10941	flrA	sigma-54 dependent transcriptional regulator, flagellar regulatory protein
K10942	flrB	two-component system, sensor histidine kinase FlrB
K10943	flrC	two-component system, response regulator FlrC
K10947	padR	PadR family transcriptional regulator, regulatory protein PadR
K10948	hlyA	hemolysin
K10953	rtxA	RTX toxin RtxA
K10954	zot	zona occludens toxin
K10956	SEC61A	protein transport protein SEC61 subunit alpha
K10961	tcpI	toxin coregulated pilus biosynthesis protein I
K10962	tcpQ	toxin coregulated pilus biosynthesis protein Q
K10965	tcpT	toxin coregulated pilus biosynthesis protein T
K10972	allS	LysR family transcriptional regulator, transcriptional activator of the allD operon
K10973	allR	IclR family transcriptional regulator, negative regulator of allantoin and glyoxylate utilization operons
K10974	codB	cytosine permease
K10975	allP	allantoin permease
K10977	aksA	methanogen homocitrate synthase
K10978	aksF	methanogen homoisocitrate dehydrogenase
K10979	ku	DNA end-binding protein Ku
K10984	agaB	galactosamine PTS system EIIB component
K10985	agaC	galactosamine PTS system EIIC component
K10986	agaD	galactosamine PTS system EIID component
K11003	hlyD	membrane fusion protein, hemolysin D
K11004	hlyB	ATP-binding cassette, subfamily B, bacterial HlyB/CyaB
K11005	hlyA	hemolysin A
K11008	cnf1	cytotoxic necrotizing factor 1
K11013	cdtA	cytolethal distending toxin subunit A
K11014	cdtB	cytolethal distending toxin subunit B
K11015	cdtC	cytolethal distending toxin subunit C
K11016	shlA	hemolysin
K11017	shlB	hemolysin activation/secretion protein
K11018	tlh	thermolabile hemolysin
K11020	toxA	exotoxin A
K11021	tccC	insecticidal toxin complex protein TccC
K11023	ptxA	pertussis toxin subunit 1
K11031	slo	thiol-activated cytolysin
K11032	hlyII	hemolysin II
K11034	nheBC	non-hemolytic enterotoxin B/C
K11041	eta	exfoliative toxin A/B
K11045	cfa	cAMP factor
K11047	cylX	CylX protein
K11048	cylD	CylD protein
K11049	cylG	CylG protein
K11050	cylA	multidrug/hemolysin transport system ATP-binding protein
K11051	cylB	multidrug/hemolysin transport system permease protein
K11052	cylE	CylE protein
K11053	cylF	CylF protein
K11054	cylI	CylI protein
K11055	cylJ	CylJ protein
K11056	cylK	CylK protein
K11057	cpb2	beta2-toxin
K11058	cpe	enterotoxin Cpe
K11059	entA	probable enterotoxin A
K11060	entB	probable enterotoxin B
K11061	entC	probable enterotoxin C
K11062	entD	probable enterotoxin D
K11063	tcdAB	toxin A/B
K11065	tpx	thioredoxin-dependent peroxiredoxin
K11066	E3.5.1.28D, amiD	N-acetylmuramoyl-L-alanine amidase
K11068	hlyIII	hemolysin III
K11069	potD	spermidine/putrescine transport system substrate-binding protein
K11070	potC	spermidine/putrescine transport system permease protein
K11071	potB	spermidine/putrescine transport system permease protein
K11072	potA	spermidine/putrescine transport system ATP-binding protein
K11073	potF	putrescine transport system substrate-binding protein
K11074	potI	putrescine transport system permease protein
K11075	potH	putrescine transport system permease protein
K11076	potG	putrescine transport system ATP-binding protein
K11080	attA1	mannopine transport system ATP-binding protein
K11081	phnS	2-aminoethylphosphonate transport system substrate-binding protein
K11082	phnV	2-aminoethylphosphonate transport system permease protein
K11083	phnU	2-aminoethylphosphonate transport system permease protein
K11084	phnT	2-aminoethylphosphonate transport system ATP-binding protein
K11085	msbA	ATP-binding cassette, subfamily B, bacterial MsbA
K11089	TROVE2	60 kDa SS-A/Ro ribonucleoprotein
K11102	gltP, gltT	proton glutamate symport protein
K11103	dctA	aerobic C4-dicarboxylate transport protein
K11104	melB	melibiose permease
K11105	cvrA, nhaP2	potassium/hydrogen antiporter
K11106	ttdT	L-tartrate/succinate antiporter
K11107	yfaE	ferredoxin
K11130	NOP10	H/ACA ribonucleoprotein complex subunit 3
K11131	DKC1	H/ACA ribonucleoprotein complex subunit 4
K11139	hlyE, clyA, sheA	hemolysin E
K11144	dnaI	primosomal protein DnaI
K11145	mrnC	mini-ribonuclease III
K11173	ADHFE1	hydroxyacid-oxoacid transhydrogenase
K11175	purN	phosphoribosylglycinamide formyltransferase 1
K11176	purO	IMP cyclohydrolase
K11177	yagR	xanthine dehydrogenase YagR molybdenum-binding subunit
K11178	yagS	xanthine dehydrogenase YagS FAD-binding subunit
K11179	tusE	tRNA 2-thiouridine synthesizing protein E
K11180	dsrA	dissimilatory sulfite reductase alpha subunit
K11181	dsrB	dissimilatory sulfite reductase beta subunit
K11183	fruB	multiphosphoryl transfer protein
K11184	chr, crh	catabolite repression HPr-like protein
K11192	murP	N-acetylmuramic acid PTS system EIICB component
K11195	levE	fructose PTS system EIIB component
K11196	levF	fructose PTS system EIIC component
K11200	mngA	2-O-A-mannosyl-D-glycerate PTS system EIIABC component
K11201	frvA	fructose-like PTS system EIIA component
K11202	fryB	fructose-like PTS system EIIB component
K11203	fryC, frvB	fructose-like PTS system EIIC or EIIBC or EIIABC component
K11208	yncG	GST-like protein
K11209	yghU, yfcG	GSH-dependent disulfide-bond oxidoreductase
K11210	fosB	metallothiol transferase
K11211	kdkA	3-deoxy-D-manno-octulosonic acid kinase
K11212	cofD	LPPG:FO 2-phospho-L-lactate transferase
K11214	SHPK	sedoheptulokinase
K11216	lsrK	autoinducer-2 kinase
K11249	eamB	cysteine/O-acetylserine efflux protein
K11250	leuE	leucine efflux protein
K11258	ilvM	acetolactate synthase II small subunit
K11260	fwdG	4Fe-4S ferredoxin
K11261	fwdE	formylmethanofuran dehydrogenase subunit E
K11263	bccA	acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein
K11264	scpB	methylmalonyl-CoA decarboxylase
K11311	antC	anthranilate 1,2-dioxygenase reductase component
K11312	K11312	cupin 2 domain-containing protein
K11328	nrsS	two-component system, OmpR family, Ni(II)-sensor and/or redox sensor kinase NrsS
K11329	rpaB	two-component system, OmpR family, response regulator RpaB
K11337	bchC	bacteriochlorophyllide a dehydrogenase
K11356	cikA	two-component system, sensor histidine kinase and response regulator
K11357	divJ	two-component system, cell cycle sensor histidine kinase DivJ
K11358	yhdR	aspartate aminotransferase
K11381	bkdA	2-oxoisovalerate dehydrogenase E1 component
K11382	pgtP	MFS transporter, OPA family, phosphoglycerate transporter protein
K11383	kinB	two-component system, NtrC family, sensor histidine kinase KinB
K11384	algB	two-component system, NtrC family, response regulator AlgB
K11386	embB	arabinosyltransferase B
K11387	embC	arabinosyltransferase C
K11391	rlmG	23S rRNA (guanine1835-N2)-methyltransferase
K11392	rsmF	16S rRNA (cytosine1407-C5)-methyltransferase
K11434	PRMT1	type I protein arginine methyltransferase
K11440	gbsB	choline dehydrogenase
K11441	kguK	dehydrogluconokinase
K11442	K11442	putative uridylyltransferase
K11443	divK	two-component system, cell cycle response regulator DivK
K11444	wspR	two-component system, chemotaxis family, response regulator WspR
